branch,month,month_num,sales,mean_sales,median_sales,std_sales,robust_zscore,zscore,mom_pct,anomaly_flag,anomaly_reason
Stories Khaldeh,October,10,7348415.03,7012967.67,7111228.85,2094655.92,0.183,0.16,-6.51,0,
Stories Khaldeh,December,12,6874042.67,7012967.67,7111228.85,2094655.92,-0.183,-0.066,1.92,0,
Stories Ain El Mreisseh,February,2,9929973.33,9967738.5,10223378.57,2623565.47,-0.178,-0.014,-21.49,0,
Stories Ain El Mreisseh,October,10,10516783.81,9967738.5,10223378.57,2623565.47,0.178,0.209,-4.58,0,
Stories Centro Mall,October,10,3059645.65,3128476.49,3248535.44,966889.09,-0.177,-0.071,-5.35,0,
Stories Antelias,November,11,2551353.16,2552435.74,2665503.59,687212.85,-0.166,-0.002,-6.03,0,
Stories Lau,November,11,1173966.97,1336974.4,1288268.79,576108.35,-0.138,-0.283,-14.28,0,
Stories Saida,March,3,4684910.67,4583857.48,4465001.29,1576019.51,0.13,0.064,-8.52,0,
Stories Saida,September,9,4245091.9,4583857.48,4465001.29,1576019.51,-0.13,-0.215,-28.36,0,
Stories Antelias,January,1,2615854.33,2552435.74,2665503.59,687212.85,-0.072,0.092,,0,
Stories Antelias,October,10,2715152.86,2552435.74,2665503.59,687212.85,0.072,0.237,-6.69,0,
Stories Zalka,September,9,9882169.98,8997432.86,9829054.96,2339742.74,0.036,0.378,-8.28,0,
Stories Zalka,October,10,9775939.95,8997432.86,9829054.96,2339742.74,-0.036,0.333,-1.07,0,
Stories Ramlet El Bayda,November,11,5863675.69,4673724.16,5904160.08,2457615.2,-0.017,0.484,-8.89,0,
Stories Ramlet El Bayda,December,12,5944644.46,4673724.16,5904160.08,2457615.2,0.017,0.517,1.38,0,
Stories Centro Mall,January,1,3264533.33,3128476.49,3248535.44,966889.09,0.015,0.141,,0,
Stories Centro Mall,September,9,3232537.55,3128476.49,3248535.44,966889.09,-0.015,0.108,-24.95,0,
Stories Amioun,January,1,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,February,2,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,March,3,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,April,4,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,May,5,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,June,6,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,July,7,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,August,8,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,September,9,0.0,813838.69,0.0,1414375.66,0.0,-0.575,,0,
Stories Amioun,October,10,3582319.53,813838.69,0.0,1414375.66,0.0,1.957,,0,
Stories Amioun,November,11,3115747.75,813838.69,0.0,1414375.66,0.0,1.628,-13.02,0,
Stories Amioun,December,12,3067997.01,813838.69,0.0,1414375.66,0.0,1.594,-1.53,0,
Stories Event Starco,January,1,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,February,2,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,March,3,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,April,4,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,May,5,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,June,6,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,July,7,918.92,49776.03,0.0,161883.61,0.0,-0.302,,0,
Stories Event Starco,October,10,0.0,49776.03,0.0,161883.61,0.0,-0.307,,0,
Stories Event Starco,November,11,6606.61,49776.03,0.0,161883.61,0.0,-0.267,,0,
Stories Jbeil,January,1,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,February,2,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,March,3,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,April,4,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,May,5,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,June,6,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
