branch,month,month_num,actual_sales,trend_walkforward_pred,naive_last_month_pred,moving_avg_3_pred
Stories Unknown,April,4,3555273.33,2562850.0,2385366.67,2367490.0
Stories Unknown,May,5,2024430.0,3652953.33,3555273.33,2822578.89
Stories Unknown,June,6,923133.33,2745541.66,2024430.0,2655023.33
Stories Unknown,July,7,300556.67,1600305.11,923133.33,2167612.22
Stories Unknown,August,8,0.0,666950.0,300556.67,1082706.67
Stories Unknown,September,9,0.0,3574.52,0.0,407896.67
Stories Unknown,October,10,0.0,0.0,0.0,100185.56
Stories Unknown,November,11,0.0,0.0,0.0,0.0
Stories Unknown,December,12,0.0,0.0,0.0,0.0
Stories Verdun,April,4,2105139.33,1212055.09,1436257.67,1523775.29
Stories Verdun,May,5,1195236.33,1949279.23,2105139.33,1642829.11
Stories Verdun,June,6,449746.67,1458110.08,1195236.33,1578877.78
Stories Verdun,July,7,3417793.41,747124.4,449746.67,1250040.78
Stories Verdun,August,8,3481408.42,2090425.65,3417793.41,1687592.14
Stories Verdun,September,9,2989974.79,2889264.82,3481408.42,2449649.5
Stories Verdun,October,10,2764180.79,3153287.82,2989974.79,3296392.21
Stories Verdun,November,11,2465933.34,3223622.02,2764180.79,3078521.33
Stories Verdun,December,12,1695655.86,3152851.86,2465933.34,2740029.64
Stories Zalka,April,4,11182530.0,10293351.11,10840106.67,9902251.11
Stories Zalka,May,5,6433973.33,11378080.0,11182530.0,10146758.89
Stories Zalka,June,6,2504900.0,7885098.33,6433973.33,9485536.67
Stories Zalka,July,7,10265530.04,3771781.78,2504900.0,6707134.44
Stories Zalka,August,8,10774439.35,6187377.64,10265530.04,6401467.79
Stories Zalka,September,9,9882169.98,7881549.81,10774439.35,7848289.8
Stories Zalka,October,10,9775939.95,8553610.78,9882169.98,10307379.79
Stories Zalka,November,11,8876666.37,8958813.58,9775939.95,10144183.09
Stories Zalka,December,12,8566291.9,8911885.5,8876666.37,9511592.1
